sample_id	group	sample_index	target_detected	pct_target	site	depth_m	date_sampled	lat	lon	notes	R1	R2
L1	L	74	COI_LerayXT	92	NA	NA	NA	NA	NA		RUN29/L1_S74_L001_R1_001.fastq.gz	RUN29/L1_S74_L001_R2_001.fastq.gz
L2	L	75	COI_LerayXT	93	NA	NA	NA	NA	NA		RUN29/L2_S75_L001_R1_001.fastq.gz	RUN29/L2_S75_L001_R2_001.fastq.gz
L3	L	76	COI_LerayXT	93	NA	NA	NA	NA	NA		RUN29/L3_S76_L001_R1_001.fastq.gz	RUN29/L3_S76_L001_R2_001.fastq.gz
L4	L	77	COI_LerayXT	94	NA	NA	NA	NA	NA		RUN29/L4_S77_L001_R1_001.fastq.gz	RUN29/L4_S77_L001_R2_001.fastq.gz
L5	L	78	COI_LerayXT	93	NA	NA	NA	NA	NA		RUN29/L5_S78_L001_R1_001.fastq.gz	RUN29/L5_S78_L001_R2_001.fastq.gz
L6	L	79	COI_LerayXT	92	NA	NA	NA	NA	NA		RUN29/L6_S79_L001_R1_001.fastq.gz	RUN29/L6_S79_L001_R2_001.fastq.gz
L7	L	80	COI_LerayXT	93	NA	NA	NA	NA	NA		RUN29/L7_S80_L001_R1_001.fastq.gz	RUN29/L7_S80_L001_R2_001.fastq.gz
L8	L	81	COI_LerayXT	92	NA	NA	NA	NA	NA		RUN29/L8_S81_L001_R1_001.fastq.gz	RUN29/L8_S81_L001_R2_001.fastq.gz
L9	L	82	COI_LerayXT	94	NA	NA	NA	NA	NA		RUN29/L9_S82_L001_R1_001.fastq.gz	RUN29/L9_S82_L001_R2_001.fastq.gz
L10	L	83	COI_LerayXT	94	NA	NA	NA	NA	NA		RUN29/L10_S83_L001_R1_001.fastq.gz	RUN29/L10_S83_L001_R2_001.fastq.gz
L11	L	84	COI_LerayXT	92	NA	NA	NA	NA	NA		RUN29/L11_S84_L001_R1_001.fastq.gz	RUN29/L11_S84_L001_R2_001.fastq.gz
L12	L	85	COI_LerayXT	92	NA	NA	NA	NA	NA		RUN29/L12_S85_L001_R1_001.fastq.gz	RUN29/L12_S85_L001_R2_001.fastq.gz
L13	L	86	COI_LerayXT	94	NA	NA	NA	NA	NA		RUN29/L13_S86_L001_R1_001.fastq.gz	RUN29/L13_S86_L001_R2_001.fastq.gz
